[whoareyou1.png] 비교 시작
--- 모든 데이터셋 이미지와의 거리(distance) ---
#1: distance=0.6511
#2: distance=0.5602
#3: distance=0.6075
#4: distance=0.5890
서윤철.png: distance=0.2234
#5: distance=0.5703
카리나2.jpg: distance=0.6258
장희재.png: distance=0.5169
#6: distance=0.5898
#7: distance=0.5676
#8: distance=0.4990
#9: distance=0.5385
#10: distance=0.6604
#11: distance=0.6592
#12: distance=0.5886
#13: distance=0.6656
#14: distance=0.6863
최형우.jpeg: distance=0.6223
#15: distance=0.7076
#16: distance=0.5819
#17: distance=0.6412
짭카리나.png: distance=0.5557
#18: distance=0.6054
#19: distance=0.6413
카리나.jpeg: distance=0.6458
#20: distance=0.6334
#21: distance=0.5788
#22: distance=0.6036
#23: distance=0.5799
#24: distance=0.5585
#25: distance=0.5493
#26: distance=0.5775
박승헌.png: distance=0.6596
#27: distance=0.5491
#28: distance=0.5258
김용호.png: distance=0.6214
#29: distance=0.5811
#30: distance=0.5808
#31: distance=0.5275
#32: distance=0.5752
#33: distance=0.6363
#34: distance=0.5664
박승범.png: distance=0.5449
#35: distance=0.6880
윈터.jpeg: distance=0.6405
#36: distance=0.5318

--- 얼굴 인식 결과 ---

✅ [일치] 서윤철.png (거리: 0.2234)
